City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Presidencia Roque Saenz Pena,AR,78.78,scattered clouds,-26.7852,-60.4388,Hotel Aconcagua
2,Castro,BR,75.43,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
3,Rikitea,PF,76.73,few clouds,-23.1203,-134.9692,People ThankYou
10,Vaini,TO,80.76,few clouds,-21.2,-175.2,Keleti Beach Resort
11,Hilo,US,78.53,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
15,Butaritari,KI,81.61,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
30,Kapaa,US,80.92,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
32,Atuona,PF,78.53,clear sky,-9.8,-139.0333,Villa Enata
33,Bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
36,Puerto Ayora,EC,78.76,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
38,Georgetown,MY,76.95,few clouds,5.4112,100.3354,Cititel Penang
39,La Palma,US,83.21,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
40,Carnarvon,AU,75.27,clear sky,-24.8667,113.6333,Hospitality Carnarvon
42,Mabaruma,GY,78.49,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
48,Bengkulu,ID,75.85,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
54,Sume,BR,87.6,scattered clouds,-7.6717,-36.88,Pousada Sumé ll
63,Carora,VE,84.2,overcast clouds,10.1755,-70.0827,Hotel Irpinia
68,Isangel,VU,81.21,overcast clouds,-19.55,169.2667,Tanna Lodge
71,Port Hedland,AU,75.25,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
78,Saint-Philippe,RE,76.55,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
81,Avarua,CK,78.85,few clouds,-21.2078,-159.775,Paradise Inn
84,Bandarbeyla,SO,77.7,scattered clouds,9.4942,50.8122,JABIR HOTEL
107,Guerrero Negro,MX,78.13,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
108,Urucui,BR,83.21,overcast clouds,-7.2294,-44.5561,Hotel Premium Piauí
114,Lorengau,PG,80.91,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
115,Siavonga,ZM,78.17,few clouds,-16.5382,28.7088,Lavongora Waterfront Lodge
124,Marovoay,MG,80.74,moderate rain,-16.1,46.6333,Hôtel les Oliviers Marovoay
126,Saint George,US,75.67,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
128,Hithadhoo,MV,81.37,broken clouds,-0.6,73.0833,Scoop Guest House
133,Arraial Do Cabo,BR,78.76,few clouds,-22.9661,-42.0278,Pousada Porto Praia
135,Rawson,AR,75.24,broken clouds,-43.3002,-65.1023,Hosteria Sampedro
139,Agboville,CI,75.72,scattered clouds,5.928,-4.2132,hotel LE PRESTIGE
143,Cabo San Lucas,MX,79.9,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
146,Puerto Penasco,MX,75.76,clear sky,31.3167,-113.5333,Playa Bonita Resort
148,Bongor,TD,79.32,scattered clouds,10.2806,15.3722,Oryx Palace
152,Kampot,KH,76.6,overcast clouds,10.6167,104.1833,Two Moons Hotel
163,The Valley,AI,85.86,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
164,Buin,CL,86.32,clear sky,-33.7333,-70.75,Paihuen
166,Kununurra,AU,75.18,scattered clouds,-15.7667,128.7333,Hotel Kununurra
167,Lompoc,US,79.11,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
169,Galle,LK,76.78,overcast clouds,6.0367,80.217,Amangalla
171,Axim,GH,79.88,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
176,Saint-Georges,GD,85.68,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
181,Nicoya,CR,87.35,broken clouds,10.1483,-85.452,Las Cabinas Del Sueño
182,Faanui,PF,81.41,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
183,Gurupa,BR,82.62,overcast clouds,-1.405,-51.64,Hotel Vitória
192,Malakal,SS,84.52,clear sky,9.5334,31.6605,Nile Palace Hotel
194,Sao Filipe,CV,76.8,overcast clouds,14.8961,-24.4956,Hotel Xaguate
198,Iralaya,HN,80.53,scattered clouds,15.0,-83.2333,Iglesia morava renovada
202,Manta,EC,82.18,few clouds,-0.95,-80.7333,Balandra Hotel
212,Labuan,MY,75.56,scattered clouds,5.2767,115.2417,Tiara Labuan Hotel
219,Luganville,VU,82.18,clear sky,-15.5333,167.1667,The Espiritu Hotel
225,Basco,PH,78.31,moderate rain,20.4487,121.9702,Nathaniel's Lodge
227,Touros,BR,85.1,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
231,Dingle,PH,75.07,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
235,Ambilobe,MG,75.61,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
239,Lodwar,KE,82.08,overcast clouds,3.1191,35.5973,Solmar Gracious Hotel
242,Fajardo,PR,84.13,clear sky,18.3258,-65.6524,"El Conquistador, A Waldorf Astoria Resort"
244,Aden,YE,80.22,clear sky,12.7794,45.0367,Sama Emirate Hotel
261,Praya,CV,75.74,scattered clouds,14.9215,-23.5087,LT Aparthotel
269,Maceio,BR,83.64,light rain,-9.6658,-35.7353,Poutur Pousada
272,Jibuti,DJ,76.42,clear sky,11.5,42.5,Orchid Main Camp Goubet
275,Bilma,NE,75.85,overcast clouds,18.6853,12.9164,Expeditions Ténére voyages
276,Mogadishu,SO,81.21,scattered clouds,2.0371,45.3438,Hotel Juba
279,Cockburn Town,TC,80.56,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
283,Poum,NC,79.75,scattered clouds,-20.2333,164.0167,Gîte kajeon
286,Trairi,BR,81.48,scattered clouds,-3.2778,-39.2689,janelas do mar
288,Vila Velha,BR,76.95,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
289,Goianesia,BR,76.32,scattered clouds,-15.3175,-49.1175,Kamur Plaza Hotel - Goianésia
291,Amahai,ID,78.26,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
295,Epe,NG,79.63,overcast clouds,6.5841,3.9834,MAGVILLE HOTEL
296,Itarema,BR,81.48,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
301,Jaicos,BR,86.81,overcast clouds,-7.3592,-41.1378,Hotel Jaicós
302,Majene,ID,77.7,light rain,-3.5403,118.9707,Kost Putri RABBANI
303,Bacolod,PH,76.66,scattered clouds,10.6667,122.95,Planta Hotel & Residences
306,Naguabo,PR,84.02,clear sky,18.2116,-65.7349,Rodríguez Apartments & Doña Ana Resorts
308,Karratha,AU,80.71,scattered clouds,-20.7377,116.8463,ibis Styles Karratha
309,San Cristobal,VE,78.98,broken clouds,7.7669,-72.225,Posada Villaven C.A.
318,Kailua,US,80.58,few clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
323,Labuhan,ID,75.88,light rain,-6.8844,112.2051,PT PPI Lamongan Tambak C
331,Mecca,SA,78.94,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
333,Tagusao,PH,79.65,overcast clouds,9.1924,117.8141,Toledo
337,Biri,PH,81.45,overcast clouds,12.6833,124.3636,Exequiel and Wyn Lodging House
338,Ixtapa,MX,86.81,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
339,Biak,ID,75.97,overcast clouds,-0.9131,122.8766,Penginapan Kim
342,Kavieng,PG,81.84,moderate rain,-2.5744,150.7967,Nusa Island Retreat
344,Buchanan,LR,78.76,scattered clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
346,Nhulunbuy,AU,75.81,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
347,Acarau,BR,81.73,few clouds,-2.8856,-40.12,castelo pizzaria
354,Cururupu,BR,79.61,broken clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
356,Gonaives,HT,82.38,few clouds,19.45,-72.6833,Vertières Doux Séjour
358,Bonthe,SL,80.1,clear sky,7.5264,-12.505,Bonthe Holiday Village
359,Bouloupari,NC,80.51,scattered clouds,-21.8667,166.05,Oua-Ya Lodge
364,Mapiripan,CO,83.28,broken clouds,2.8892,-72.1256,Monserrate
367,Ternate,ID,78.78,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
372,Namatanai,PG,81.16,light rain,-3.6667,152.4333,Seagulls Inn Namatani
376,Nabire,ID,75.99,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
377,Alofi,NU,80.49,scattered clouds,-19.0595,-169.9187,Taloa Heights
384,Diffa,NE,75.45,scattered clouds,13.3154,12.6113,ProDAF/Diffa
393,Teseney,ER,82.35,clear sky,15.11,36.6575,Sabrin Hotel
402,Mongo,TD,78.8,few clouds,12.1844,18.693,Résidences du Programme FIDA
404,Samarai,PG,82.06,overcast clouds,-10.6167,150.6667,Nuli Sapi
407,Belmonte,BR,80.6,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
408,Voh,NC,83.86,broken clouds,-20.9667,164.7,Le gîte du Koniambo
410,Conceicao Do Araguaia,BR,77.22,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
411,Jalu,LY,75.81,overcast clouds,29.0331,21.5482,صاحبة الفخامة
412,Port-Gentil,GA,80.56,light rain,-0.7193,8.7815,Fengshui Residence
425,San Luis De Palenque,CO,87.71,overcast clouds,5.4214,-71.7317,Hotel Palenque Los Cubarros
427,Sulangan,PH,81.48,broken clouds,11.1373,123.7228,Maia's Beach Resort
428,Progreso,MX,79.41,broken clouds,21.2833,-89.6667,Playa Linda Hotel
440,Padang,ID,75.94,overcast clouds,-0.9492,100.3543,Mercure Padang
450,Dakar,SN,77.13,clear sky,14.6937,-17.4441,Redface Studios Meublés
457,Kavaratti,IN,81.0,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
465,Trelew,AR,78.85,broken clouds,-43.249,-65.3051,Hotel Touring Club
471,Benguela,AO,75.88,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
479,Malibu,US,83.68,clear sky,34.005,-118.8101,Malibu Country Inn
480,Mount Isa,AU,76.77,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
483,Kahului,US,80.62,few clouds,20.8947,-156.47,Maui Seaside Hotel
484,Rondonopolis,BR,83.86,overcast clouds,-16.4708,-54.6356,Serras Hotel
485,Batticaloa,LK,79.02,overcast clouds,7.7102,81.6924,Grand Star Guest House
489,Santiago Del Estero,AR,88.3,clear sky,-27.7951,-64.2615,Apartamentos Castelli 90
490,La Orilla,MX,84.42,clear sky,17.9833,-102.2333,Baymont by Wyndham Lazaro Cardenas
493,Hambantota,LK,76.66,overcast clouds,6.1241,81.1185,Bungalow 63
499,Kimbe,PG,79.2,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
504,Natal,BR,84.85,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
511,Makakilo City,US,77.32,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
517,Madang,PG,76.86,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
522,Porto Novo,BJ,84.02,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
524,Cilegon,ID,76.89,overcast clouds,-6.0174,106.0538,Amaris Hotel Cilegon
526,Alwar Tirunagari,IN,75.6,heavy intensity rain,8.6,77.95,Rajkumar
528,Ouahigouya,BF,81.97,overcast clouds,13.5828,-2.4216,Hotel Liberte
532,Vao,NC,75.92,few clouds,-22.6667,167.4833,Hotel Kou-Bugny
533,Rock Sound,BS,75.92,scattered clouds,24.9,-76.2,Rock Sound Club
536,Tiarei,PF,84.22,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
537,Manoel Urbano,BR,78.69,overcast clouds,-8.8389,-69.2597,Baixada Beira Rio
541,Mangrol,IN,76.37,broken clouds,21.1167,70.1167,Hotel The Royal Honours
551,Harper,LR,79.3,broken clouds,4.375,-7.7169,Screensaver
556,Karaton,ID,75.36,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
563,Yanam,IN,75.63,overcast clouds,16.7333,82.2167,The Regency Hotel
564,Vanimo,PG,77.32,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
568,Remedios,CU,75.54,broken clouds,22.4947,-79.5458,Hostal Yunai
569,Bridgetown,BB,84.69,scattered clouds,13.1,-59.6167,Hilton Barbados Resort
570,Ifo,NG,83.82,overcast clouds,6.8144,3.1958,Footed Hotel and Suites
581,Cairns,AU,76.95,light intensity shower rain,-16.9167,145.7667,Mantra Trilogy Cairns
582,Jizan,SA,81.54,clear sky,17.3333,42.6667,شهدان. ابوالحجر
586,Jamapa,MX,77.95,overcast clouds,19.0333,-96.2333,El Secreto Spa
587,Ambon,ID,81.45,overcast clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
589,Wad Madani,SD,86.18,clear sky,14.4012,33.5199,فندق يوغسلافيا
590,San Andres,CO,80.62,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
592,Matara,LK,75.13,light rain,5.9485,80.5353,Amaloh Boutique Resort
595,Ugoofaaru,MV,80.02,heavy intensity rain,5.6667,73.0,Ungoofaaru Inn
603,Pochutla,MX,85.05,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
610,Kudahuvadhoo,MV,82.74,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
611,Grand-Lahou,CI,79.48,light rain,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
612,High Rock,BS,75.22,overcast clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
615,Sambava,MG,76.6,light rain,-14.2667,50.1667,Melrose
619,New Amsterdam,GY,79.03,broken clouds,6.25,-57.5167,Little Rock Suites
623,Honiara,SB,82.56,overcast clouds,-9.4333,159.95,Heritage Park Hotel
628,Luwuk,ID,77.07,moderate rain,-0.9516,122.7875,Hotel Santika Luwuk
629,Ciudad Bolivar,VE,85.96,overcast clouds,8.1222,-63.5497,Hotel Edi
630,Sorong,ID,78.48,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
632,Ilesha,NG,75.0,few clouds,7.1371,5.2583,Tosap Guest House
635,Eyl,SO,77.45,scattered clouds,7.9803,49.8164,Amiin Hotel
639,Buala,SB,82.69,light rain,-8.145,159.5921,Maringe Lagoon Lodge
643,Tautira,PF,84.22,light rain,-17.7333,-149.15,Pension Oaoa
649,Bajil,YE,81.32,clear sky,15.0584,43.2851,فندق حضرموت
652,Sinazongwe,ZM,78.75,clear sky,-17.2614,27.4618,Lakeview Lodge
653,Banda Aceh,ID,77.36,overcast clouds,5.5577,95.3222,Sulthan Hotel International
655,Alta Gracia,AR,75.97,clear sky,-31.6529,-64.4283,Hotel Ritz
658,Ituporanga,BR,78.28,overcast clouds,-27.4144,-49.6025,Hotel Jacaré
659,Veraval,IN,76.35,broken clouds,20.9,70.3667,Lords Inn Somnath
661,Abu Dhabi,AE,77.11,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
671,Praia,CV,75.74,scattered clouds,14.9215,-23.5087,LT Aparthotel
